"ANIO_REG","TRIMESTRE","FOLIO","HOG_ENT_1","HOG_ENT_2","TRAB_DOMES","NUM_TRAB_D","EDAD_TRAB1","EDAD_TRAB2","EDAD_TRAB3","EDAD_TRAB4","EDAD_TRAB5","ACC_ALIM1","ACC_ALIM2","ACC_ALIM3","ACC_ALIM4","ACC_ALIM5","ACC_ALIM6","ACC_ALIM7","ACC_ALIM8","ACC_ALIM9","ACC_ALIM10","ACC_ALIM11","ACC_ALIM12","SALUD1","SALUD2","SALUD3","SALUD4","SALUD5","SALUD6","SALUD7","EMPLEO1","EMPLEO2","EMPLEO3","EMPLEO4_1","EMPLEO4_2","EMPLEO4_3","EMPLEO4_4","NEGOCIO1","NEGOCIO2","NEGOCIO3","NEGOCIO4_1","NEGOCIO4_2","NEGOCIO4_3","NEGOCIO4_4","COSECHA1","COSECHA2","COSECHA3","COSECHA4_1","COSECHA4_2","COSECHA4_3","COSECHA4_4","DESNAT1","DESNAT2","DESNAT3","DESNAT4_1","DESNAT4_2","DESNAT4_3","DESNAT4_4","DESNAT4_5","DESNAT4_6","APO_GOB_1","APO_GOB_2","APO_GOB_3","APO_GOB_4","PROG_OPORT","PROG_PROCA","INTEG_MEN","CUID_MEN1","CUID_MEN2","CUID_MEN3","CUID_MEN4","CUID_MEN5","CUID_MEN6","CUID_MEN7","CUID_MEN8","CUID_MEN9","CUID_MEN10","CUID_MEN11","CUID_MEN12","CUID_MEN13","PAGO_MENOR","CANT_MENOR","INTEG_MAY","AYUDA_MAY1","AYUDA_MAY2","AYUDA_MAY3","AYUDA_MAY4","AYUDA_MAY5","AYUDA_MAY6","AYUDA_MAY7","AYUDA_MAY8","CUID_MAY1","CUID_MAY2","CUID_MAY3","CUID_MAY4","CUID_MAY5","CUID_MAY6","CUID_MAY7","PAGO_MAYOR","CANT_MAYOR","INTEG_7A59","AYUDA_PER1","AYUDA_PER2","AYUDA_PER3","AYUDA_PER4","AYUDA_PER5","AYUDA_PER6","AYUDA_PER7","AYUDA_PER8","CUID_PER1","CUID_PER2","CUID_PER3","CUID_PER4","CUID_PER5","CUID_PER6","CUID_PER7","PAGO_7A59","CANT_7A59","PERDIDA1","PERDIDA2","PERDIDA3","PERDIDA4","PERDIDA5_1","PERDIDA5_2","PERDIDA5_3","PERDIDA5_4","NUM_RADIO","ANIO_RADIO","NUM_TV","ANIO_TV","NUM_LICUA","ANIO_LICUA","NUM_MICRO","ANIO_MICRO","NUM_REFRI","ANIO_REFRI","NUM_ESTUF","ANIO_ESTUF","NUM_LAVAD","ANIO_LAVAD","NUM_PLANC","ANIO_PLANC","NUM_MAQUI","ANIO_MAQUI","NUM_VENTI","ANIO_VENTI","NUM_ASPIR","ANIO_ASPIR","NUM_COMPU","ANIO_COMPU","NUM_AUTO","ANIO_AUTO","NUM_LINEA","ANIO_LINEA","NUM_CEL","ANIO_CEL","CONEX_INTE","TIPO_CONEX","TOT_INTEG","FACTOR"
"2012","1","101203065","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"1","2","2","2","2","2","2",,,,,,,,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"3",,,,,,,,0,,1,"10",0,,0,,0,,1,"10",0,,1,"10",0,,0,,0,,0,,0,,0,,1,"11","2",,2,10930
"2012","1","101203066","1","0","4",0,0,0,0,0,0,"1","2","2","2","2","2",,,,,,,"2",,,,"2",,,"2",,,,,,,"2",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"2","2","2","2","2","2","2",,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"2",,,,,,,,1,"09",1,"07",1,"06",0,,1,"02",1,"98",1,"08",0,,0,,0,,0,,0,,0,,0,,0,,"2",,1,5708
"2012","1","101203068","1","0","4",0,0,0,0,0,0,"1","2","2","2","2","2",,,,,,,"1","1","1","04","2",,,"2",,,,,,,"3",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"2","2","2","2","2","2","2",,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"3",,,,,,,,0,,1,"02",1,"92",0,,0,,1,"94",0,,0,,0,,0,,0,,0,,0,,0,,0,,"2",,2,9753
"2012","1","101203069","1","0","4",0,0,0,0,0,0,"1","1","2","2","2","2",,,,,,,"2",,,,"2",,,"2",,,,,,,"2",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"1","2","2","2","1","2","2",,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"10",1,"07",1,"09",0,,1,"05",1,"09",1,"09",0,,0,,0,,0,,0,,1,"02",0,,2,"10","2",,4,21860
"2012","1","101203070","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"1","1","2",,,,,"2",,,,,,,"2",,,,,,,"1","1","2",,,,,,,"2","2","2","2","2","1","1",,,,,,,,,"9",,,,,"2",0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"03",3,"08",1,"05",1,"02",1,"10",1,"96",1,"05",1,"06",1,"73",1,"10",0,,1,"10",2,"06",1,"92",1,"97","2",,6,14629
"2012","1","101203072","1","0","4",0,0,0,0,0,0,"1","2","1","1","1","1","1","1","2","1","1","1","2",,,,"2",,,"1","1","2",,,,,"3",,,,,,,"3",,,,,,,"1","1","2",,,,,,,"2","2","1","2","1","2","1",,,,,,,,,"9",,,,,"2",0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"10",1,"09",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2",,6,17288
"2012","1","101203073","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"1","1","2","04","2",,,"2",,,,,,,"2",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"2","2","2","2","1","2","2",,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"07",3,"08",1,"07",1,"05",1,"10",1,"11",1,"06",1,"09",0,,1,"98",0,,0,,3,"10",0,,4,"11","2",,6,31875
"2012","1","101204001","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"3",,,,,,,"2",,,,,,,,,"2","2","2","2","2","2","1",,,,,,,,,"9",,,,,"2",0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"11",3,"09",1,"04",1,"01",1,"01",1,"01",1,"01",1,"11",1,"11",3,"11",1,"03",2,"07",1,"04",1,"01",2,"06","1","1",4,4085
"2012","1","101204002","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"3",,,,,,,"2",,,,,,,,,"2","2","2","2","2","2","1",,,,,,,,,"9",,,,,"2",0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"3",,,,,,,,0,,1,"06",1,"06",1,"06",1,"08",1,"06",0,,1,"06",0,,0,,0,,1,"06",1,"02",1,"11",1,"11","1","1",4,4085
"2012","1","101204003","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"1","1","1","08","2",,,"2",,,,,,,"3",,,,,,,"3",,,,,,,"1","2","2",,,,,,,"2","2","2","2","2","2","2",,,,,,,,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,2,"11",3,"01",1,"09",1,"01",1,"09",1,"87",1,"07",1,"91",0,,3,"09",0,,5,"11",1,"07",1,"87",2,"11","1","3",2,4126
"2012","1","101204004","1","0","3",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"3",,,,,,,"2",,,,,,,,,"2","2","2","2","2","2","1",,,,,,,,,,,,,"13","1",400,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"1","2","1","2",,,,,1,"08",2,"11",1,"11",1,"04",1,"04",1,"09",1,"08",1,"11",0,,2,"11",1,"08",2,"11",1,"08",1,"12",4,"11","1","1",5,4876
"2012","1","101204005","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"1","2",,"2",,,,,,,"3",,,,,,,"3",,,,,,,"2",,,,,,,,,"2","2","2","2","2","2","2",,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"2",,,,,,,,1,"06",1,"06",1,"06",0,,1,"08",1,"05",1,"09",1,"09",1,"07",0,,0,,0,,1,"04",1,"05",2,"11","2",,2,4830
"2012","1","101204008","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"3",,,,,,,"2",,,,,,,,,"2","2","2","2","2","2","2",,,,,,,,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,3,"02",4,"11",1,"92",1,"92",1,"92",1,"72",1,"09",1,"11",0,,1,"97",2,"97",1,"11",1,"09",1,"78",3,"00","2",,3,6189
"2012","1","101204011","1","0","3",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"1","1","1","2",,,,,,,"3",,,,,,,"3",,,,,,,"2",,,,,,,,,"2","2","2","2","2","2","2",,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"97",3,"11",1,"10",1,"02",1,"08",1,"02",1,"11",1,"09",0,,0,,0,,0,,0,,1,"72",1,"11","1","2",2,2312
"2012","1","101204016","1","0","3",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"1","1","1","08","2",,,"2",,,,,,,"2",,,,,,,"3",,,,,,,"2",,,,,,,,,"2","2","2","2","2","2","2",,,,,,,,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"01",3,"08",1,"87",1,"97",1,"92",1,"92",1,"90",1,"96",0,,3,"11",1,"09",3,"09",2,"07",1,"92",5,"09","1","2",5,12761
