"ANIO_REG","TRIMESTRE","FOLIO","TIPO_VIV","MAT_PARED","MAT_TECHOS","MAT_PISOS","ANTIGUEDAD","COCINA","COCINA_DOR","CUART_DORM","NUM_CUARTO","DISP_AGUA","DOTAC_AGUA","EXCUSADO","USO_COMPAR","SANIT_AGUA","DRENAJE","DISP_ELECT","POTENCIA","FOCOS_AHOR","FOCOS_INCA","COMBUSTIBL","ESTUFA_CHI","ELI_BASURA","LAVADERO","FREGADERO","REGADERA","TINACO_AZO","CISTERNA","PILETA","CALENTADOR","MEDIDOR_LU","BOMBA_AGUA","TANQUE_GAS","AIRE_ACOND","CALEFACC","CHIMENEA","REPAR_PARD","REPAR_TECH","REPAR_AGUA","REPAR_DREN","REPAR_CABL","CONST_DORM","CONST_COCI","CONST_BANO","TENENCIA","ESTIM_COBR","ESTIM_PAGO","PAGO_VIV","TIPO_ADQUI","VIV_USADA","TIPO_FINAN","NUM_DUENO1","HOG_DUENO1","NUM_DUENO2","HOG_DUENO2","ESCRITURAS","TOT_RESID","TOT_HOG","HOG_PRINC","UBICA_GEO","AGEB","CD_INPC","TAM_LOC","EST_SOCIO","EST_DIS","UPM","FACTOR"
"2012","1","021206046","1","6","6","3",30,"1","2",2,4,"1","1","1","2","1","1","1",0,6,0,"3",,"1","2","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2",2000,2000,0,,,,,,,,,4,1,"1","020040001","291-2","121","1","3","0212","01070",6977
"2012","1","021206047","1","6","6","3",33,"1","2",4,7,"1","1","1","2","1","1","1",0,8,0,"3",,"1","2","1","1","2","2","2","1","1","2","2","2","2","2","1","1","2","2","2","2","2","2","4",4000,2000,0,"3",,"5","01","1",,,"1",4,1,"1","020040001","291-2","121","1","3","0212","01070",10091
"2012","1","021206048","1","6","6","3",15,"1","2",3,8,"1","1","1","2","1","1","1",0,10,0,"4",,"1","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4",6000,6000,0,"3",,"5","01","1",,,"1",4,1,"1","020040001","291-2","121","1","3","0212","01070",10091
"2012","1","021206050","1","8","6","3",0,"1","2",3,5,"1","1","1","2","1","1","1",0,8,0,"3",,"1","2","1","1","2","2","2","1","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2",3000,3000,0,,,,,,,,,5,1,"1","020040001","291-2","121","1","3","0212","01070",5045
"2012","1","021206052","3","6","6","2",0,"1","2",2,4,"2","1","1","1","1","1","1",0,1,4,"3",,"1","1","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","1",0,0,0,,,,,,,,,4,1,"1","020040001","291-2","121","1","3","0212","01070",2523
"2012","1","021206053","1","8","9","3",30,"1","2",4,6,"1","1","1","2","1","1","1",0,6,2,"3",,"1","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4",3000,3000,0,"3",,"5","01","1",,,"1",8,1,"1","020040001","291-2","121","1","3","0212","01070",12614
"2012","1","021206054","1","6","6","3",30,"1","2",2,5,"1","1","1","2","1","1","1",0,8,2,"3",,"1","2","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4",3800,3500,0,"3",,"5","01","1",,,"1",3,1,"1","020040001","291-2","121","1","3","0212","01070",7177
"2012","1","021206055","1","8","9","3",50,"1","2",4,8,"1","1","1","2","1","1","1",0,10,0,"3",,"1","2","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4",4500,3800,0,"3",,"5","02","1",,,"1",5,1,"1","020040001","291-2","121","1","3","0212","01070",10508
"2012","1","021206056","1","6","6","3",40,"1","2",1,3,"1","1","1","2","1","1","1",0,4,2,"3",,"1","2","1","1","2","2","2","2","1","2","2","2","2","2","1","1","2","2","2","2","2","2","4",3000,2000,0,"3",,"5","01","1",,,"1",2,1,"1","020040001","291-2","121","1","3","0212","01070",4651
"2012","1","021206058","3","6","6","2",30,"1","2",2,3,"2","1","1","1","1","1","1",0,3,2,"3",,"1","1","1","2","2","2","2","2","1","2","2","2","2","2","1","1","2","2","2","1","2","2","2",1500,1500,0,,,,,,,,,4,1,"1","020040001","291-2","121","1","3","0212","01070",4227
"2012","1","021206059","3","6","6","2",0,"1","2",1,3,"2","1","1","2","1","1","1",0,1,2,"3",,"1","1","1","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","1",0,0,0,,,,,,,,,3,1,"1","020040001","291-2","121","1","3","0212","01070",4785
"2012","1","021206061","2","8","9","3",25,"1","2",2,6,"1","1","1","2","1","1","1",0,12,0,"3",,"1","1","1","1","2","1","2","1","1","2","2","1","1","2","2","2","2","2","2","2","2","2","4",16500,13000,0,"1","2","5","01","1",,,"1",2,1,"1","020040001","044-1","121","1","4","0212","01620",5545
"2012","1","021206062","2","8","9","2",40,"1","2",1,3,"1","1","1","2","1","1","1",0,10,4,"5",,"1","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1",0,0,0,,,,,,,,,1,1,"1","020040001","044-1","121","1","4","0212","01620",2799
"2012","1","021206064","1","8","9","3",40,"1","2",3,7,"1","1","1","2","1","1","1",0,0,10,"4",,"1","1","1","1","2","2","2","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1",0,0,0,,,,,,,,,4,1,"1","020040001","044-1","121","1","4","0212","01620",4690
"2012","1","021206065","1","8","9","2",55,"1","2",2,4,"1","1","1","2","1","1","1",0,20,0,"3",,"1","1","1","1","2","2","2","1","1","2","2","2","2","2","1","1","1","2","2","2","2","2","1",0,0,0,,,,,,,,,4,1,"1","020040001","044-1","121","1","4","0212","01620",5161
"2012","1","021206066","1","8","9","2",10,"1","2",3,7,"1","1","1","2","1","1","1",0,4,11,"3",,"1","1","1","1","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1",0,0,0,,,,,,,,,5,1,"1","020040001","044-1","121","1","4","0212","01620",7963
"2012","1","021206068","1","8","9","2",30,"1","2",3,4,"1","1","1","2","1","1","1",0,30,0,"3",,"1","1","1","1","2","1","2","1","1","1","2","1","2","1","2","2","2","2","2","2","2","2","3",13000,6000,4000,"1","1","&","01","1",,,"1",3,1,"1","020040001","044-1","121","1","4","0212","01620",7735
"2012","1","021206070","1","8","9","2",25,"1","2",3,10,"1","1","1","2","1","1","1",0,5,14,"4",,"1","1","1","1","2","1","2","1","1","1","2","1","1","1","2","2","2","2","2","2","2","2","4",50000,50000,0,"2",,"5","02","1",,,"1",3,1,"1","020040001","044-1","121","1","4","0212","01620",2578
"2012","1","021206071","1","8","9","2",19,"1","2",1,13,"1","1","1","2","1","1","1",0,70,40,"4",,"1","1","1","1","2","2","2","1","1","2","2","1","1","1","2","2","2","2","2","2","2","2","4",30000,30000,0,"2",,"4","01","1",,,"1",2,1,"1","020040001","044-1","121","1","4","0212","01620",5156
"2012","1","021206072","2","8","9","3",16,"1","2",3,7,"1","1","1","2","1","1","1",0,18,0,"4",,"1","1","1","1","2","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1",0,0,0,,,,,,,,,4,1,"1","020040001","044-1","121","1","4","0212","01620",5598
"2012","1","021206075","1","8","8","2",0,"1","2",1,4,"1","1","1","2","1","1","1",0,10,0,"4",,"1","1","1","1","2","2","2","1","1","2","1","1","1","1","2","2","2","2","2","2","2","2","4",30000,30000,0,"1","1","5","01","1",,,"1",1,1,"1","020040001","044-1","121","1","4","0212","01620",2580
"2012","1","021206076","1","6","6","2",4,"1","2",2,3,"2","1","1","2","3","5","1",0,0,4,"3",,"4","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","1","4",500,500,0,"2",,"4","02","1",,,"2",4,1,"1","020040723","601-2",,"3","1","0200","01740",5203
"2012","1","021206078","1","6","6","2",14,"1","2",3,4,"2","1","1","2","2","2","1",0,0,8,"3",,"4","1","2","1","2","2","2","2","2","2","2","2","2","2","1","1","2","1","1","1","1","1","4",750,750,0,"3",,"5","01","1",,,"3",6,1,"1","020040723","601-2",,"3","1","0200","01740",7804
"2012","1","021206079","1","8","6","2",0,"1","2",1,2,"2","1","1","2","3","2","1",0,0,2,"3",,"4","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1",0,0,0,,,,,,,,,5,1,"1","020040723","601-2",,"3","1","0200","01740",6467
"2012","1","021206080","1","6","6","2",12,"1","2",3,8,"2","1","1","2","2","2","1",0,5,4,"3",,"4","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","4",1000,1000,0,"3",,"5","01","1",,,"3",8,1,"1","020040723","601-2",,"3","1","0200","01740",17177
"2012","1","021206081","1","6","6","2",14,"2",,2,2,"2","1","1","2","3","2","1",0,4,0,"3",,"4","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","4",700,700,0,"3",,"5","01","1",,,"3",6,1,"1","020040723","601-2",,"3","1","0200","01740",11451
"2012","1","021206082","1","6","6","2",14,"1","2",1,3,"2","1","1","2","2","2","1",0,3,0,"3",,"4","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","4",800,800,0,"3",,"5","01","1",,,"3",5,1,"1","020040723","601-2",,"3","1","0200","01740",7804
"2012","1","021206083","1","6","6","1",7,"1","2",3,4,"1","1","1","2","2","2","1",0,0,5,"3",,"4","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","4",500,500,0,"3",,"5","02","1",,,"3",6,1,"1","020040723","601-2",,"3","1","0200","01740",5890
"2012","1","021206084","1","6","6","2",0,"1","2",1,3,"2","1","1","2","2","2","1",0,0,3,"3",,"4","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","2","2","2","2",600,600,0,,,,,,,,,1,1,"1","020040723","601-2",,"3","1","0200","01740",2863
"2012","1","021206085","1","6","6","2",6,"1","2",1,2,"1","1","1","2","2","2","1",0,0,5,"3",,"5","1","1","2","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","2","2","2","4",1500,1500,0,"3",,"5","01","1",,,"3",2,1,"1","020040723","601-2",,"3","1","0200","01740",5726
"2012","1","021206086","1","6","6","2",24,"1","2",3,4,"5",,"1","2","3","2","1",0,0,8,"3",,"4","1","2","1","2","2","2","1","2","2","2","2","2","2","1","1","1","1","1","2","2","2","4",1300,1000,0,"3",,"5","01","1",,,"3",5,1,"1","020040723","601-2",,"3","1","0200","01740",10511
"2012","1","021206087","3","6","6","2",0,"1","2",1,2,"2","1","1","1","3","2","1",0,0,3,"1","2","4","2","1","2","2","2","2","2","1","2","2","2","2","2","1","1","1","2","2","2","2","2","1",0,0,0,,,,,,,,,1,1,"1","020040723","601-2",,"3","1","0200","01740",2863
"2012","1","021206088","1","6","6","2",7,"1","2",1,2,"1","1","1","1","3","2","1",0,0,4,"3",,"4","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","4",1000,1000,0,"4",,"&","02","1",,,"3",2,1,"1","020040723","601-2",,"3","1","0200","01740",5890
"2012","1","021206089","1","6","6","2",9,"1","2",2,3,"2","1","1","1","2","2","1",0,4,0,"3",,"4","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","1","2","2","2","2","4",1000,1000,0,"2",,"5","01","1",,,"3",4,1,"1","020040723","601-2",,"3","1","0200","01740",6211
"2012","1","021206090","1","6","6","1",8,"1","2",2,3,"2","1","1","2","3","2","1",0,0,6,"3",,"4","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","1","1","1","2",1500,1500,0,,,,,,,,,8,1,"1","020040723","601-2",,"3","1","0200","01740",5726
"2012","1","021206091","1","6","6","2",20,"1","2",3,4,"1","1","1","2","1","1","1",0,3,5,"3",,"4","1","1","2","2","2","1","2","2","2","2","2","2","2","1","1","1","1","2","2","2","2","4",1500,1000,0,"1","1","5","02","1",,,"1",3,1,"1","020040723","601-2",,"3","1","0200","01740",5203
"2012","1","021206093","1","6","6","2",0,"1","2",1,2,"2","1","1","2","3","2","1",0,0,4,"3",,"4","1","2","2","2","2","2","2","1","2","2","2","2","2","2","1","2","1","2","1","2","1","2",800,800,0,,,,,,,,,4,1,"1","020040723","601-2",,"3","1","0200","01740",5890
"2012","1","021206094","1","6","6","2",0,"1","2",2,3,"2","1","1","2","3","2","1",0,0,4,"3",,"4","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","1","1","1","1","2",500,500,0,,,,,,,,,6,1,"1","020040723","601-2",,"3","1","0200","01740",9316
"2012","1","021206095","1","6","6","2",7,"2",,1,1,"5",,"1","1","2","2","1",0,0,2,"3",,"4","1","1","1","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","4",600,600,0,"2",,"5","01","1",,,"3",3,1,"1","020040723","601-2",,"3","1","0200","01740",2945
"2012","1","021206096","1","6","6","3",15,"1","2",2,3,"2","1","1","2","1","2","1",0,9,0,"3",,"3","2","1","2","2","2","2","1","2","2","2","2","1","2","1","1","1","1","1","1","1","1","4",1000,1000,0,"3",,"5","01","1",,,"3",3,1,"1","020040723","601-2",,"3","1","0200","01740",6467
"2012","1","021206097","1","8","6","3",8,"1","2",4,5,"1","1","1","2","1","2","1",0,0,7,"3",,"1","1","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4",1500,1500,0,"3",,"5","01","1",,,"1",4,1,"1","020040723","601-2",,"3","1","0200","01740",5203
"2012","1","021206098","1","6","6","2",8,"1","1",1,1,"2","1","1","2","2","2","1",0,0,2,"3",,"4","2","1","2","2","2","2","2","1","2","2","2","2","2","1","2","2","2","1","1","1","1","4",800,800,0,"3",,"5","01","1",,,"3",4,1,"1","020040723","601-2",,"3","1","0200","01740",6467
"2012","1","021206099","1","6","6","2",10,"1","2",1,3,"2","1","1","2","3","2","1",0,0,3,"3",,"4","1","1","2","2","2","2","2","1","2","2","2","2","2","2","1","2","2","2","1","1","1","4",600,600,0,"3",,"5","01","1",,,"3",5,1,"1","020040723","601-2",,"3","1","0200","01740",5890
"2012","1","021206100","1","6","6","2",10,"1","2",1,2,"5",,"1","2","3","2","1",0,3,0,"1","2","4","1","2","2","2","2","2","2","1","2","2","2","2","2","1","1","1","1","1","1","1","1","4",500,500,0,"3",,"5","03","1",,,"3",3,1,"1","020040723","601-2",,"3","1","0200","01740",7883
"2012","1","021206101","1","6","6","2",17,"1","2",4,5,"2","1","1","2","3","2","1",0,0,5,"3",,"1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","4",1000,1000,0,"3",,"5","02","1","01","1","3",6,1,"1","020040723","601-2",,"3","1","0200","01740",11780
"2012","1","021206102","1","8","6","2",20,"1","2",2,3,"1","1","1","2","1","1","1",0,0,6,"3",,"4","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","4",1000,1000,0,"3",,"5","01","1",,,"1",3,1,"1","020040723","601-2",,"3","1","0200","01740",5726
"2012","1","021206104","1","6","6","2",5,"1","2",3,5,"1","1","1","2","2","2","1",0,10,0,"3",,"3","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","2","2","2","2","2","2","4",1000,1000,0,"3",,"5","01","1",,,"3",3,1,"1","020040723","601-2",,"3","1","0200","01740",8588
"2012","1","021206105","1","6","6","2",6,"1","2",2,3,"1","1","1","1","2","2","1",0,4,0,"3",,"4","1","1","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","4",500,500,0,"4",,"&","02","1",,,"3",7,1,"1","020040723","601-2",,"3","1","0200","01740",5203
"2012","1","031201010","1","8","9","3",11,"1","2",2,3,"1","1","1","2","1","1","1",0,0,6,"3",,"1","1","1","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","1","5",2000,1500,0,,,,,,,,,2,1,"1","030030001","185-6","140","1","3","0314","02720",4043
"2012","1","031201012","1","8","9","3",24,"1","2",2,3,"1","1","1","2","1","1","1",0,5,5,"3",,"1","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","4",3000,3000,0,"1","2","1","01","1",,,"1",2,1,"1","030030001","185-6","140","1","3","0314","02720",2022
"2012","1","031201019","1","8","9","2",12,"1","2",3,5,"1","2","1","2","1","1","1",0,5,0,"3",,"1","1","2","1","1","2","1","2","1","2","2","1","2","2","1","1","1","1","1","2","2","2","4",2000,2000,0,"1","1","1","02","1",,,"1",5,1,"1","030030001","317-6","140","1","2","0314","02810",5963
"2012","1","031201020","1","8","9","3",8,"1","2",1,5,"1","2","1","2","1","1","1",0,9,0,"3",,"1","1","1","1","1","2","2","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","3",3000,3000,3700,"1","2","2","01","1",,,"3",4,1,"1","030030001","317-6","140","1","2","0314","02810",6683
"2012","1","031201022","1","6","4","1",22,"1","2",1,2,"1","2","1","2","2","1","1",0,4,0,"3",,"1","1","2","2","2","2","1","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","3",750,750,100,"3",,"&","02","1",,,"3",3,1,"1","030030001","317-6","140","1","2","0314","02810",7047
"2012","1","031201026","1","8","9","2",8,"1","2",2,3,"2","2","1","2","2","1","1",0,4,0,"3",,"1","1","2","2","2","2","1","2","1","2","2","2","2","2","1","1","1","1","1","1","2","1","2",1000,1000,0,,,,,,,,,6,1,"1","030030001","317-6","140","1","2","0314","02810",5903
"2012","1","031201027","1","8","3","2",0,"1","2",1,2,"1","2","1","2","2","1","1",0,0,4,"3",,"1","1","2","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","2","2","2","2","4",1000,1000,0,"2",,"5","01","1",,,"3",1,1,"1","030030001","317-6","140","1","2","0314","02810",3524
"2012","1","031201030","1","8","9","3",3,"1","2",2,3,"1","2","1","2","1","1","1",0,0,7,"3",,"1","1","1","1","1","2","1","2","1","2","2","1","2","2","2","2","2","2","2","2","2","2","4",1500,1500,0,"2",,"4","01","1",,,"1",4,1,"1","030030001","317-6","140","1","2","0314","02810",5903
"2012","1","031201040","1","8","2","1",4,"1","1",1,1,"5",,"1","2","3","2","5",0,0,0,"1","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","6",500,500,0,,,,,,,,,4,1,"1","030030001","348-1","140","1","1","0314","02910",1854
"2012","1","031201042","1","1","1","1",3,"2",,2,2,"5",,"1","2","3","5","5",0,0,0,"3",,"1","1","2","2","2","2","1","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","4",300,300,0,"3",,"5","02","1",,,"3",2,1,"1","030030001","348-1","140","1","1","0314","02910",1553
