proyecto,folioviv,foliohog,numren,numtrab,tipoact,cose_cria,prep_deriv,valproc,valrema,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,procampo,mesproc,progan,mesprogan,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,com_fis,reg_cont,reg_not,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
1,015160,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,18000,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,17280,0,0,5100,4331.75,0,0,1278.47,3053.28,0
1,015164,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,20000,No,,,,,0,,,,3,3,0,3,3,0,0,,,0,,,Ninguno,No,No,271730,9240,80,136000,68117.28,2316.28,20.05,34092.48,36361.13,0
1,015164,0,01,Trabajo secundario,Actividades de cría y explotación de animales,Sí,Sí,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,14400,0,0,2000,3609.79,0,0,501.36,3108.43,0
1,016151,0,02,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,4200,0,0,2950,1052.86,0,0,739.51,313.35,0
1,016151,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,15000,15000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,6000,8160,0,24600,1504.08,2045.55,0,6166.73,0,2617.1
1,016157,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,0,,,,2,2,0,2,2,0,0,,,0,,,Ninguno,No,No,200000,0,0,92050,50136,0,0,23075.09,27060.91,0
1,017161,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,70000,70000,No,,,,,0,,0,,2,2,0,2,2,0,0,,,0,,,Ninguno,No,No,147000,0,0,202500,36849.96,0,0,50762.7,0,13912.74
1,017174,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,100000,100000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,315000,0,0,236000,78964.2,0,0,59160.48,19803.72,0
1,017177,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,90000,90000,No,,,,,0,,0,,2,2,0,2,2,0,0,,,0,,,Ninguno,No,No,157250,0,0,136900,39419.43,0,0,34318.09,5101.34,0
1,017185,0,01,Trabajo principal,Actividades agrícolas,Sí,,8000,8000,No,,,,,3500,Mayo,,,2,1,1,0,,,2,1,1,0,,,Ninguno,No,No,0,13600,0,14000,0,3409.25,0,3509.52,0,100.27
1,017186,0,01,Trabajo principal,Actividades agrícolas,Sí,,20000,20000,No,,,,,7500,Junio,,,0,,,,,,,,,,,,Ninguno,No,No,0,700,0,6500,0,175.48,0,1629.42,0,1453.94
1,017188,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,9800,Agosto,,,0,,,,,,,,,,,,Ninguno,No,No,0,76700,0,28000,0,19227.16,0,7019.04,12208.12,0
1,017189,0,02,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,10000,Agosto,,,0,,,,,,,,,,,,Ninguno,No,No,0,13080,0,9000,0,3278.89,0,2256.12,1022.77,0
1,017190,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,1200,15000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,54000,3600,0,47480,13536.72,902.4500000000001,0,11902.29,2536.88,0
1,017194,0,01,Trabajo principal,Actividades agrícolas,Sí,,7200,0,No,,,,,0,,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,4950,0,0,0,1240.87,0,1240.87
