proyecto,folioviv,foliohog,numren,fecha_nac,selecc
1,0100213803,1,02,23090000,2
1,0100213803,1,01,27120000,1
1,0100213804,1,02,26060000,2
1,0100213804,1,04,02100000,2
1,0100213804,1,01,25050000,1
1,0100213804,1,03,22010000,2
1,0100243801,1,02,09080000,2
1,0100243801,1,01,12110000,1
1,0100243803,1,01,09010000,1
1,0100243803,1,02,02050000,2
1,0100243804,1,01,12060000,2
1,0100243804,1,02,10010000,1
1,0100243805,1,01,11110000,1
1,0100243805,1,02,23120000,2
1,0100249601,1,03,12070000,2
1,0100249601,1,01,23110000,1
1,0100249601,1,02,29040000,2
1,0100249603,1,02,05080000,2
1,0100249603,1,01,22060000,1
1,0100249604,1,01,24040000,2
1,0100249604,1,02,07110000,1
1,0100249605,1,01,18010000,1
1,0100257601,1,02,14080000,1
1,0100257601,1,01,17080000,2
1,0100257602,1,01,20040000,1
1,0100257602,1,02,01090000,2
1,0100257603,1,01,06040000,1
1,0100257603,1,03,12040000,2
1,0100257603,1,02,19070000,2
1,0100257604,1,03,13050000,2
1,0100257604,1,04,03120000,1
1,0100257604,1,01,30090000,2
1,0100257604,1,02,27030000,2
1,0100259601,1,01,19120000,1
1,0100259602,1,03,10030000,2
1,0100259602,1,02,13120000,1
1,0100259602,1,01,16040000,2
1,0100259603,1,03,09100000,1
1,0100259603,1,02,22040000,2
1,0100259603,1,01,12030000,2
1,0100259604,1,02,29120000,2
1,0100259604,1,03,25050000,2
1,0100259604,1,01,14120000,1
1,0100259605,1,01,20090000,1
1,0100259605,1,02,28040000,2
1,0100270901,1,03,09090000,2
1,0100270901,1,02,04060000,2
1,0100270901,1,01,18010000,1
1,0100270901,1,04,01090000,2
1,0100270902,1,01,30010000,1
1,0100273902,1,01,21010000,1
1,0100273902,1,02,03050000,2
1,0100273903,1,02,31120000,1
1,0100273903,1,01,12030000,2
1,0100273904,1,01,12050000,2
1,0100273904,1,02,07010000,1
1,0100273905,1,02,09030000,1
1,0100273905,1,01,24060000,2
1,0100306902,1,04,21010000,1
1,0100306902,1,03,13010000,2
1,0100306902,1,02,25020000,2
1,0100306902,1,01,08030000,2
1,0100306903,1,02,31080000,1
1,0100306903,1,01,09090000,2
1,0100306904,1,02,10080000,1
1,0100306904,1,03,25100000,2
1,0100306904,1,01,06100000,2
1,0100307202,1,03,27090000,1
1,0100307202,1,02,12080000,2
1,0100307202,1,01,25060000,2
1,0100307203,1,01,24070000,2
1,0100307203,1,02,08070000,1
1,0100307204,1,01,28010000,1
1,0100307204,1,02,04070000,2
1,0100311201,1,05,10020000,2
1,0100311201,1,04,28070000,2
1,0100311201,1,03,03040000,2
1,0100311201,1,02,20010000,1
1,0100311201,1,01,13040000,2
1,0100311202,1,01,06010000,1
1,0100311203,1,03,05020000,2
1,0100311203,1,01,17110000,1
1,0100311203,1,02,23010000,2
1,0100311204,1,02,25020000,2
1,0100311204,1,01,23020000,2
1,0100311204,1,03,04100000,1
1,0100311205,1,03,03090000,2
1,0100311205,1,02,20020000,2
1,0100311205,1,01,19060000,2
1,0100311205,1,04,06100000,1
1,0100323201,1,03,15010000,2
1,0100323201,1,02,13010000,1
1,0100323201,1,01,21070000,2
1,0100323202,1,01,08010000,1
1,0100323202,1,04,09030000,2
1,0100323202,1,02,13010000,2
1,0100323202,1,03,21010000,2
1,0100323203,1,02,20110000,1
1,0100323203,1,01,19080000,2
1,0100323203,1,03,23080000,2
1,0100323203,1,04,08030000,2
1,0100323204,1,01,15030000,1
1,0100323204,1,02,26030000,2
1,0100323204,1,03,30060000,2
1,0100323204,1,04,16090000,2
1,0100323204,1,05,30060000,2
1,0100323205,1,01,29090000,1
1,0100324701,1,01,10080000,2
1,0100324701,1,02,02070000,1
1,0100324702,1,01,07110000,1
1,0100324702,1,02,09120000,2
1,0100324703,1,03,29110000,1
1,0100324703,1,02,21090000,2
1,0100324703,1,01,29120000,2
1,0100324703,1,04,03020000,2
1,0100324704,1,03,28100000,2
1,0100324704,1,01,24120000,1
1,0100324704,1,02,07040000,2
1,0100324705,1,02,26100000,1
1,0100324705,1,01,10100000,2
1,0100338701,1,01,21040000,1
1,0100338702,1,03,12090000,2
1,0100338702,1,02,19030000,2
1,0100338702,1,01,06010000,1
1,0100338703,1,01,18080000,1
1,0100338704,1,03,30120000,2
1,0100338704,1,02,07100000,2
1,0100338704,1,01,24120000,1
1,0100338705,1,01,05040000,2
1,0100338705,1,02,06120000,1
1,0100351701,1,01,25050000,1
1,0100351702,1,04,27070000,2
1,0100351702,1,03,24010000,2
1,0100351702,1,02,24110000,2
1,0100351702,1,01,20110000,1
1,0100351703,1,02,19120000,1
1,0100351703,1,03,17040000,2
1,0100351703,1,01,07030000,2
1,0100351704,1,02,20120000,1
1,0100351704,1,01,19060000,2
1,0100351704,1,03,02040000,2
1,0100351705,1,03,18040000,2
1,0100351705,1,02,17030000,1
1,0100351705,1,01,10060000,2
1,0100381402,1,01,13040000,1
1,0100381402,1,02,01060000,2
1,0100381403,1,02,17020000,2
1,0100381403,1,01,18040000,2
1,0100381403,1,03,29010000,1
1,0100390401,1,02,02030000,2
1,0100390401,1,01,27120000,1
1,0100390402,1,01,09020000,1
1,0100390402,1,02,02040000,2
1,0100390403,1,01,09100000,1
1,0100390404,1,01,30080000,2
1,0100390404,1,02,25050000,1
1,0100390405,1,02,20070000,2
1,0100390405,1,01,23120000,1
1,0100391401,1,01,11120000,1
1,0100391402,1,01,12080000,1
1,0100391403,1,01,17050000,2
1,0100391403,1,03,19010000,1
1,0100391403,1,02,06030000,2
1,0100391404,1,01,16080000,1
1,0100391404,1,02,16090000,2
1,0100391405,1,01,12060000,2
1,0100391405,1,02,27110000,1
1,0100396101,1,02,20020000,2
1,0100396101,1,01,30110000,1
1,0100396102,1,01,01010000,1
1,0100396102,1,02,01010000,2
1,0100396103,1,01,01010000,2
1,0100396103,1,02,01010000,1
1,0100396104,1,04,23110000,2
1,0100396104,1,03,11050000,2
1,0100396104,1,02,25040000,1
1,0100396104,1,01,05050000,2
1,0100396105,1,01,09080000,2
1,0100396105,1,02,06040000,1
1,0100405101,1,02,14020000,2
1,0100405101,1,03,18120000,1
1,0100405101,1,01,19120000,2
1,0100405102,1,02,16040000,2
1,0100405102,1,01,15100000,1
1,0100405103,1,01,24100000,2
1,0100405103,1,02,11100000,1
1,0100405104,1,02,05110000,1
1,0100405104,1,01,04040000,2
1,0100405105,1,01,28120000,1
1,0100405105,1,02,18010000,2
1,0100449101,1,01,22100000,1
1,0100449101,1,02,16060000,2
1,0100449101,1,03,10050000,2
1,0100449102,1,02,17120000,2
1,0100449102,1,01,06090000,1
1,0100449103,1,03,17050000,2
1,0100449103,1,05,29040000,1
1,0100449103,1,01,05080000,2
1,0100449103,1,02,07080000,2
1,0100449103,2,01,16100000,1
1,0100449103,2,02,21110000,2
1,0100449104,1,01,02100000,1
1,0100449104,1,02,19030000,2
1,0100449105,1,04,03050000,2
1,0100449105,1,06,15010000,2
1,0100449105,1,02,02030000,2
1,0100449105,1,05,27110000,1
1,0100449105,1,01,06080000,2
1,0100449105,1,03,21010000,2
1,0100457301,1,03,06050000,2
1,0100457301,1,01,14060000,2
1,0100457301,1,02,24020000,1
1,0100457302,1,04,16010000,2
1,0100457302,1,02,12020000,2
1,0100457302,1,01,10040000,2
1,0100457302,1,03,31100000,1
1,0100457303,1,02,18090000,1
1,0100457303,1,01,28120000,2
1,0100457303,1,03,15120000,2
1,0100457304,1,02,27110000,1
1,0100457304,1,01,13120000,2
1,0100457305,1,03,09090000,2
1,0100457305,1,04,17120000,1
1,0100457305,1,01,17020000,2
1,0100457305,1,02,28030000,2
1,0100462303,1,03,11100000,1
1,0100462303,1,02,06020000,2
1,0100462303,1,01,31120000,2
1,0100462303,1,04,21020000,2
1,0100462304,1,01,13020000,2
1,0100462304,1,02,16110000,1
1,0100462305,1,01,17040000,2
1,0100462305,1,03,15070000,2
1,0100462305,1,02,11070000,2
1,0100462305,1,04,24010000,1
1,0100462305,1,05,08070000,2
1,0100473301,1,02,14060000,2
1,0100473301,1,01,24060000,1
1,0100473302,1,03,04070000,2
1,0100473302,1,02,29120000,2
1,0100473302,1,01,29090000,1
1,0100473303,1,01,21010000,1
1,0100473303,1,02,29010000,2
1,0100473304,1,01,14020000,1
1,0100473304,1,02,03120000,2
1,0100473305,1,01,27050000,2
1,0100473305,1,02,16120000,1
1,0100479501,1,01,15100000,1
1,0100479501,1,02,15010000,2
1,0100479502,1,01,02040000,1
1,0100479502,2,01,17070000,1
1,0100479503,1,01,28060000,2
1,0100479503,1,02,17030000,1
1,0100479504,1,03,29070000,2
1,0100479504,1,02,31070000,2
1,0100479504,1,01,29040000,2
1,0100479504,1,05,14040000,1
1,0100479504,1,04,20080000,2
1,0100479505,1,01,16120000,1
1,0100479505,1,02,30120000,2
1,0100479505,1,03,02090000,2
1,0100479505,1,04,11110000,2
1,0100482501,1,03,17040000,2
1,0100482501,1,02,22120000,1
1,0100482501,1,01,13090000,2
1,0100482503,1,01,18080000,2
1,0100482503,1,02,17070000,1
1,0100482504,1,01,15100000,2
1,0100482504,1,02,15050000,1
1,0100488502,1,01,19070000,2
1,0100488502,1,02,23100000,1
1,0100488503,1,02,10090000,2
1,0100488503,1,03,29010000,2
1,0100488503,1,01,05010000,1
1,0100488504,1,03,18050000,2
1,0100488504,1,02,02070000,2
1,0100488504,1,05,07110000,1
1,0100488504,1,04,28080000,2
1,0100488504,1,06,09020000,2
1,0100488504,1,01,28040000,2
1,0100488505,1,03,03080000,2
1,0100488505,1,02,21030000,2
1,0100488505,1,01,28030000,1
1,0100494801,1,02,13120000,1
1,0100494801,1,01,14080000,2
1,0100494802,1,04,11110000,1
1,0100494802,1,03,25020000,2
1,0100494802,1,01,12110000,2
1,0100494802,1,02,29010000,2
1,0100494803,1,02,24090000,1
1,0100494803,1,01,30090000,2
1,0100494803,2,02,24120000,2
1,0100494803,2,01,06110000,1
